Numero da Venda;Data da Venda;Data do Envio;ID Canal;ID Loja;ID Produto;ID Promocao;ID Cliente;Quantidade Vendida;Quantidade Devolvida
977909;30/12/2017;30/12/2017;0;292;1525;5;24230;13;0
977910;30/12/2017;30/12/2017;0;281;169;5;14392;13;0
977911;30/12/2017;06/01/2018;7;253;1230;5;30233;13;0
977912;30/12/2017;06/01/2018;7;275;985;5;30589;13;0
977913;30/12/2017;30/12/2017;0;275;1234;5;26871;13;0
977914;30/12/2017;03/01/2018;4;307;810;5;14234;13;0
977915;30/12/2017;30/12/2017;0;307;1521;5;11154;13;0
977916;30/12/2017;30/12/2017;0;307;592;5;25529;13;0
977917;30/12/2017;31/12/2017;1;307;1405;5;34653;13;0
977918;30/12/2017;30/12/2017;0;310;1225;5;21671;13;0
977919;30/12/2017;02/01/2018;3;310;482;5;13735;13;0
977920;30/12/2017;31/12/2017;1;199;1227;4;37892;13;0
977921;30/12/2017;31/12/2017;1;308;206;4;18011;13;0
977922;30/12/2017;01/01/2018;2;308;1541;4;20824;13;0
977923;30/12/2017;30/12/2017;0;308;1077;4;18866;13;0
977924;30/12/2017;01/01/2018;2;200;1624;4;27249;13;0
977925;30/12/2017;30/12/2017;0;200;1073;4;10057;13;0
977926;30/12/2017;31/12/2017;1;35;470;4;10663;6;0
977927;30/12/2017;30/12/2017;0;17;1253;4;17149;6;0
977928;30/12/2017;31/12/2017;1;179;511;4;32357;6;0
977929;30/12/2017;31/12/2017;1;31;73;4;30013;6;0
977930;30/12/2017;31/12/2017;1;43;1377;4;30309;6;0
977931;30/12/2017;30/12/2017;0;152;75;4;14249;6;0
977932;30/12/2017;31/12/2017;1;26;488;4;5792;6;0
977933;30/12/2017;01/01/2018;2;97;131;4;35139;6;0
977934;30/12/2017;01/01/2018;2;85;75;4;7665;6;0
977935;30/12/2017;31/12/2017;1;21;116;4;33812;6;0
977936;30/12/2017;30/12/2017;0;79;1584;4;4615;6;0
977937;30/12/2017;03/01/2018;4;122;880;4;30032;6;0
977938;30/12/2017;01/01/2018;2;167;473;4;24084;6;0
977939;30/12/2017;04/01/2018;5;92;879;4;20770;6;0
977940;30/12/2017;03/01/2018;4;179;1123;4;7591;6;0
977941;30/12/2017;03/01/2018;4;284;331;4;13261;6;0
977942;30/12/2017;30/12/2017;0;178;909;4;13190;6;0
977943;30/12/2017;30/12/2017;0;97;213;4;4507;6;0
977944;30/12/2017;30/12/2017;0;183;1214;4;12605;6;0
977945;30/12/2017;02/01/2018;3;284;1576;4;31833;6;0
977946;30/12/2017;30/12/2017;0;87;783;4;26715;6;0
977947;30/12/2017;05/01/2018;6;63;295;4;22082;6;0
977948;30/12/2017;30/12/2017;0;85;1267;4;25978;6;0
977949;30/12/2017;31/12/2017;1;294;837;5;24239;6;0
977950;30/12/2017;01/01/2018;2;253;759;5;12351;6;0
977951;30/12/2017;03/01/2018;4;259;819;5;19977;6;0
977952;30/12/2017;30/12/2017;0;273;373;5;31454;6;0
977953;30/12/2017;30/12/2017;0;292;1470;5;26068;6;0
977954;30/12/2017;01/01/2018;2;255;73;5;25935;6;0
977955;30/12/2017;30/12/2017;0;261;1272;5;26559;6;0
977956;30/12/2017;02/01/2018;3;275;919;5;26048;6;0
977957;30/12/2017;30/12/2017;0;254;125;5;11557;6;0
977958;30/12/2017;30/12/2017;0;200;1287;4;7555;6;0
977959;30/12/2017;30/12/2017;0;308;8;4;3462;6;0
977960;30/12/2017;30/12/2017;0;308;1658;4;23114;6;0
977961;30/12/2017;30/12/2017;0;199;1480;4;21129;6;0
977962;30/12/2017;06/01/2018;7;199;755;4;21677;6;0
977963;30/12/2017;31/12/2017;1;199;513;4;6813;6;0
977964;30/12/2017;30/12/2017;0;199;1634;4;10362;6;0
977965;30/12/2017;01/01/2018;2;307;1249;5;27998;6;0
977966;30/12/2017;30/12/2017;0;307;1236;5;16018;6;0
977967;30/12/2017;05/01/2018;6;307;958;5;12294;6;0
977968;30/12/2017;30/12/2017;0;307;1135;5;26990;6;0
977969;30/12/2017;02/01/2018;3;306;1018;10;8335;8;0
977970;30/12/2017;30/12/2017;0;306;1053;10;34307;8;0
977971;30/12/2017;30/12/2017;0;306;485;10;29811;8;0
977972;30/12/2017;04/01/2018;5;303;1199;10;35887;8;0
977973;30/12/2017;02/01/2018;3;225;1343;10;5413;8;0
977974;30/12/2017;30/12/2017;0;207;1077;10;33061;8;0
977975;30/12/2017;06/01/2018;7;217;1216;10;10397;8;0
977976;30/12/2017;04/01/2018;5;231;1125;10;8470;8;0
977977;30/12/2017;01/01/2018;2;212;1339;10;10869;8;0
977978;30/12/2017;04/01/2018;5;243;1557;10;23910;8;0
977979;30/12/2017;31/12/2017;1;248;394;10;15750;8;0
977980;30/12/2017;02/01/2018;3;244;134;10;12715;8;0
977981;30/12/2017;31/12/2017;1;207;1656;10;20990;8;0
977982;30/12/2017;01/01/2018;2;235;1108;10;24524;8;0
977983;30/12/2017;30/12/2017;0;305;1205;10;14799;8;0
977984;30/12/2017;31/12/2017;1;207;326;10;8906;8;0
977985;30/12/2017;30/12/2017;0;231;1114;10;10034;8;0
977986;30/12/2017;01/01/2018;2;212;260;10;12806;8;0
977987;30/12/2017;02/01/2018;3;221;124;10;14478;8;0
977988;30/12/2017;30/12/2017;0;203;1559;10;29407;8;0
977989;30/12/2017;01/01/2018;2;309;1449;10;9470;8;0
977990;30/12/2017;30/12/2017;0;309;747;10;14052;8;0
977991;30/12/2017;06/01/2018;7;309;1380;10;11154;8;0
977992;30/12/2017;30/12/2017;0;309;1346;10;27895;8;0
977993;30/12/2017;30/12/2017;0;211;525;10;29360;4;0
977994;30/12/2017;01/01/2018;2;205;537;10;36153;4;0
977995;30/12/2017;06/01/2018;7;239;895;10;26606;4;0
977996;30/12/2017;31/12/2017;1;241;5;10;33679;4;0
977997;30/12/2017;01/01/2018;2;240;1188;10;7605;4;0
977998;30/12/2017;30/12/2017;0;303;213;10;9862;4;0
977999;30/12/2017;08/01/2018;9;240;748;10;23393;4;0
978000;30/12/2017;30/12/2017;0;239;1165;10;7867;4;0
978001;30/12/2017;04/01/2018;5;212;212;10;35032;4;0
978002;30/12/2017;30/12/2017;0;219;120;10;35338;4;0
978003;30/12/2017;06/01/2018;7;243;708;10;26197;4;0
978004;30/12/2017;03/01/2018;4;305;97;10;32344;4;0
978005;30/12/2017;31/12/2017;1;241;1406;10;11071;4;0
978006;30/12/2017;30/12/2017;0;226;931;10;3681;4;0
978007;30/12/2017;30/12/2017;0;309;843;10;5655;4;0
978008;30/12/2017;31/12/2017;1;309;128;10;8103;4;0
978009;30/12/2017;04/01/2018;5;309;845;10;10944;4;0
978010;30/12/2017;01/01/2018;2;309;621;10;21369;4;0
978011;30/12/2017;30/12/2017;0;306;262;10;18181;4;0
978012;30/12/2017;05/01/2018;6;306;879;10;10562;4;0
978013;30/12/2017;03/01/2018;4;306;819;10;32809;4;0
978014;30/12/2017;30/12/2017;0;240;449;10;23735;24;0
978015;30/12/2017;31/12/2017;1;250;431;10;8030;24;0
978016;30/12/2017;06/01/2018;7;128;424;4;17443;18;0
978017;30/12/2017;30/12/2017;0;200;206;4;18780;26;0
978018;30/12/2017;31/12/2017;1;307;1514;5;6409;26;0
978019;30/12/2017;02/01/2018;3;40;2490;4;25079;120;0
978020;30/12/2017;31/12/2017;1;80;2506;4;29890;120;0
978021;30/12/2017;30/12/2017;0;63;2510;4;12800;120;0
978022;30/12/2017;30/12/2017;0;72;2511;4;27050;120;0
978023;30/12/2017;30/12/2017;0;281;2503;5;30047;120;0
978024;30/12/2017;01/01/2018;2;94;2505;4;19396;120;0
978025;30/12/2017;06/01/2018;7;200;2503;4;17072;120;0
978026;30/12/2017;03/01/2018;4;222;2490;10;27499;80;0
978027;30/12/2017;31/12/2017;1;260;449;5;20827;39;0
978028;30/12/2017;30/12/2017;0;53;449;4;20799;39;0
978029;31/12/2017;01/01/2018;1;166;739;4;18510;13;1
978030;31/12/2017;31/12/2017;0;289;1345;4;29317;13;1
978031;31/12/2017;31/12/2017;0;310;287;5;25302;13;1
978032;31/12/2017;02/01/2018;2;61;119;4;18388;6;1
978033;31/12/2017;06/01/2018;6;248;337;10;18081;8;1
978034;31/12/2017;06/01/2018;6;307;424;5;10294;18;1
978035;31/12/2017;31/12/2017;0;310;1415;5;18341;26;2
978036;31/12/2017;04/01/2018;4;203;678;10;35231;4;1
978037;31/12/2017;31/12/2017;0;221;684;10;11134;8;1
978038;31/12/2017;31/12/2017;0;306;1615;10;36284;8;1
978039;31/12/2017;31/12/2017;0;219;1465;10;18373;4;1
978040;31/12/2017;06/01/2018;6;309;1469;10;31269;4;1
978041;31/12/2017;03/01/2018;3;306;1019;10;21606;8;1
978042;31/12/2017;31/12/2017;0;23;694;4;28234;6;1
978043;31/12/2017;06/01/2018;6;61;249;4;17709;6;1
978044;31/12/2017;04/01/2018;4;132;514;4;12474;6;1
978045;31/12/2017;31/12/2017;0;124;895;4;12369;6;1
978046;31/12/2017;06/01/2018;6;176;939;4;27996;6;1
978047;31/12/2017;31/12/2017;0;306;585;10;8941;8;1
978048;31/12/2017;01/01/2018;1;252;435;5;32799;18;1
978049;31/12/2017;31/12/2017;0;284;447;4;25296;18;1
978050;31/12/2017;31/12/2017;0;200;1639;4;24953;18;1
978051;31/12/2017;06/01/2018;6;199;308;4;6878;39;1
978052;31/12/2017;31/12/2017;0;306;1485;10;7861;24;1
978053;31/12/2017;03/01/2018;3;310;973;5;19699;26;1
978054;31/12/2017;31/12/2017;0;307;660;5;28354;13;1
978055;31/12/2017;31/12/2017;0;310;1087;5;15040;13;1
978056;31/12/2017;31/12/2017;0;308;1056;4;27548;13;1
978057;31/12/2017;31/12/2017;0;200;695;4;30920;13;1
978058;31/12/2017;31/12/2017;0;254;1487;5;26361;13;1
978059;31/12/2017;31/12/2017;0;255;1208;5;19250;13;1
978060;31/12/2017;31/12/2017;0;165;1045;4;15491;13;1
978061;31/12/2017;31/12/2017;0;19;1604;4;25160;13;1
978062;31/12/2017;05/01/2018;5;165;1178;4;13932;13;1
978063;31/12/2017;09/01/2018;9;162;1300;4;2104;13;1
978064;31/12/2017;01/01/2018;1;165;206;4;19834;13;1
978065;31/12/2017;31/12/2017;0;69;1332;4;29904;13;1
978066;31/12/2017;31/12/2017;0;175;1229;4;9808;13;1
978067;31/12/2017;03/01/2018;3;76;1532;4;25374;13;1
978068;31/12/2017;01/01/2018;1;309;82;10;23374;12;0
978069;31/12/2017;31/12/2017;0;308;761;4;9965;12;0
978070;31/12/2017;05/01/2018;5;167;69;4;11518;12;0
978071;31/12/2017;01/01/2018;1;174;650;4;31796;12;0
978072;31/12/2017;05/01/2018;5;307;125;5;8466;12;0
978073;31/12/2017;31/12/2017;0;199;1423;4;20477;12;0
978074;31/12/2017;31/12/2017;0;155;560;4;15489;12;0
978075;31/12/2017;05/01/2018;5;200;78;4;18169;12;0
978076;31/12/2017;31/12/2017;0;309;826;10;17078;12;0
978077;31/12/2017;06/01/2018;6;199;501;4;24355;12;0
978078;31/12/2017;31/12/2017;0;185;1346;4;5212;13;0
978079;31/12/2017;31/12/2017;0;286;1234;4;28842;13;0
978080;31/12/2017;02/01/2018;2;48;635;4;10634;13;0
978081;31/12/2017;31/12/2017;0;29;627;4;11088;13;0
978082;31/12/2017;02/01/2018;2;44;1479;4;23865;13;0
978083;31/12/2017;01/01/2018;1;161;273;4;28523;13;0
978084;31/12/2017;31/12/2017;0;135;1562;4;28165;13;0
978085;31/12/2017;09/01/2018;9;287;1329;4;26712;13;0
978086;31/12/2017;06/01/2018;6;148;1602;4;29972;13;0
978087;31/12/2017;31/12/2017;0;93;1438;4;19164;13;0
978088;31/12/2017;02/01/2018;2;7;1102;4;9762;13;0
978089;31/12/2017;31/12/2017;0;187;183;4;36293;13;0
978090;31/12/2017;03/01/2018;3;172;1483;4;13547;13;0
978091;31/12/2017;31/12/2017;0;99;1040;4;18380;13;0
978092;31/12/2017;02/01/2018;2;166;308;4;18689;13;0
978093;31/12/2017;31/12/2017;0;155;724;4;13129;13;0
978094;31/12/2017;05/01/2018;5;18;376;4;28194;13;0
978095;31/12/2017;04/01/2018;4;147;1079;4;11697;13;0
978096;31/12/2017;01/01/2018;1;11;1159;4;26329;13;0
978097;31/12/2017;01/01/2018;1;86;1622;4;27648;13;0
978098;31/12/2017;31/12/2017;0;172;956;4;25728;13;0
978099;31/12/2017;31/12/2017;0;99;1151;4;18598;13;0
978100;31/12/2017;06/01/2018;6;19;413;4;36108;13;0
978101;31/12/2017;31/12/2017;0;10;731;4;36108;13;0
978102;31/12/2017;03/01/2018;3;118;602;4;33929;13;0
978103;31/12/2017;31/12/2017;0;101;821;4;29874;13;0
978104;31/12/2017;02/01/2018;2;192;616;4;33190;13;0
978105;31/12/2017;01/01/2018;1;118;1362;4;28160;13;0
978106;31/12/2017;31/12/2017;0;194;1585;4;15033;13;0
978107;31/12/2017;31/12/2017;0;42;1049;4;30193;13;0
978108;31/12/2017;03/01/2018;3;188;781;4;4428;13;0
978109;31/12/2017;31/12/2017;0;113;1113;4;16479;13;0
978110;31/12/2017;31/12/2017;0;6;1138;4;20389;13;0
978111;31/12/2017;02/01/2018;2;54;1455;4;11482;13;0
978112;31/12/2017;01/01/2018;1;140;1176;4;23776;13;0
978113;31/12/2017;31/12/2017;0;82;169;4;26268;13;0
978114;31/12/2017;04/01/2018;4;163;1392;4;13858;13;0
978115;31/12/2017;06/01/2018;6;284;1154;4;27653;13;0
978116;31/12/2017;31/12/2017;0;132;1385;4;29482;13;0
978117;31/12/2017;31/12/2017;0;153;949;4;13143;13;0
978118;31/12/2017;03/01/2018;3;24;728;4;14115;13;0
978119;31/12/2017;31/12/2017;0;10;1073;4;37020;13;0
978120;31/12/2017;07/01/2018;7;103;51;4;33648;13;0
978121;31/12/2017;31/12/2017;0;39;305;4;35902;13;0
978122;31/12/2017;31/12/2017;0;35;601;4;24734;13;0
978123;31/12/2017;09/01/2018;9;267;391;5;21457;13;0
